idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,geo700
6213X,-3.845275,2025-01-07T17:00:00+0000,0.0,169.0,2.5,1.1,74.0,36.762775,107.0,NERJA (CUEVAS DE NERJA - AUTOMATICA),63.0,16.1,16.1,17.3,,,,,,,,,,,,,,,,,,,,,,,,
6258X,-3.4925,2025-01-07T17:00:00+0000,0.0,708.0,,,,36.923058,,LANJARÓN,51.0,10.2,10.2,11.5,,,,,,,,,,,,,,,,,,,,,,,,
6267X,-3.578623,2025-01-07T17:00:00+0000,0.0,20.0,7.2,2.6,265.0,36.748337,220.0,SALOBREÑA,64.0,15.6,15.6,17.1,,,,,,,,,,,,,,,,,,,,,,,,
6268Y,-3.529267,2025-01-07T17:00:00+0000,0.0,3.0,6.8,2.8,265.0,36.72401,277.0,MOTRIL PUERTO NAÚTICO,59.0,15.2,15.2,16.8,,,,,,,,,,,,,,,,,,,,,,,,
6272X,-3.380008,2025-01-07T17:00:00+0000,0.0,235.0,9.6,5.5,259.0,36.7343,237.0,CASTELL DEL FERRO,65.0,13.0,13.0,13.9,,,,,,,,,,,,,,,,,,,,,,,,
6277B,-3.020578,2025-01-07T17:00:00+0000,0.0,8.0,5.6,3.6,264.0,36.74718,267.0,ADRA CLUB NAÚTICO,60.0,15.9,16.1,16.2,1023.0,,,1024.0,8.4,,,,,,,123.0,,,,,,,,,,,,
6281X,-3.071395,2025-01-07T17:00:00+0000,0.0,1020.0,,,,37.005383,,VÁLOR,65.0,8.4,8.4,10.7,,,,,,,,,,,,,,,,,,,,,,,,
6291B,-2.81305,2025-01-07T17:00:00+0000,0.0,98.0,,,,36.77472,,EL EJIDO (AYUNTAMIENTO - AUTOMATICA),55.0,14.7,14.7,15.7,,,,,,,,,,,,,,,,,,,,,,,,
6293X,-2.701667,2025-01-07T17:00:00+0000,0.0,3.0,4.4,2.8,288.0,36.68694,275.0,ROQUETAS DE MAR-FARO SABINAR,63.0,14.2,14.2,16.4,1022.5,0.4,16.3,,,20.0,8.0,36.0,13.9,,,,,,0.0,,,,,,,,,
6302A,-2.780005,2025-01-07T17:00:00+0000,,869.0,5.4,1.5,339.0,37.141388,326.0,ABLA,33.0,10.7,10.7,12.1,921.5,,,,-5.1,,,,,,,73.0,,,,,,,,,,837.4,,
6307C,-2.897216,2025-01-07T17:00:00+0000,,1713.43,3.4,0.9,2.0,37.052998,2.0,LAÚJAR  PARQUE NACIONAL SIERRA NEVADA,73.0,4.6,4.6,7.5,832.5,0.7,,1023.1,0.2,,0.0,,,,,,,,,,,,,,,,,
6307X,-2.912377,2025-01-07T17:00:00+0000,0.0,1510.0,,1.2,,37.03321,,LAUJAR DE ANDARAX,79.0,4.9,4.9,7.8,,,,,,,,,,,,,,,,,,,,,,,,
6312E,-2.677185,2025-01-07T17:00:00+0000,0.0,601.13,3.5,0.0,0.0,37.020943,116.0,RÁGOL  PARQUE NACIONAL SIERRA NEVADA,53.0,11.4,11.4,13.3,951.8,0.4,,1022.5,2.1,,48.0,,,,,,,,,,,,,,,,,
6325O,-2.356931,2025-01-07T17:00:00+0000,0.0,21.0,4.6,1.8,260.0,36.846344,230.0,ALMERÍA/AEROPUERTO,60.0,15.2,15.3,16.6,1020.0,0.4,14.8,1022.5,7.6,,18.0,,,,,,,,,,,,,,,,,
6329X,-2.193056,2025-01-07T17:00:00+0000,0.0,42.0,7.2,4.6,295.0,36.721947,307.0,CABO DE GATA  FARO,60.0,14.9,14.9,15.4,,,,,,,,,,,,,,,,,,,,,,,,
6332Y,-1.906944,2025-01-07T17:00:00+0000,0.0,222.0,8.6,6.4,210.0,36.942223,201.0,CARBONERAS - FARO MESA ROLDÁN,64.0,13.4,13.5,14.8,997.8,1.6,14.0,,6.8,20.0,15.0,34.0,15.8,,,,,,0.0,,,,,,,,,
6335O,-2.699181,2025-01-07T17:00:00+0000,0.0,969.93,6.0,2.8,281.0,37.109932,272.0,NACIMIENTO  PARQUE NACIONAL SIERRA NEVADA,36.0,10.1,10.1,10.7,910.6,1.0,,1022.1,-4.5,,19.0,,,,,,,,,,,,,,,,,
6340X,-1.816589,2025-01-07T17:00:00+0000,0.0,7.0,8.3,6.6,159.0,37.178932,160.0,GARRUCHA  PUERTO,68.0,15.3,15.3,15.5,,,,,,,,,,,,,,,,,,,,,,,,
6364X,-2.151523,2025-01-07T17:00:00+0000,0.0,508.0,9.9,4.8,255.0,37.40659,265.0,ALBOX,34.0,13.5,13.5,15.7,,,,,,,,,,,,,,,,,,,,,,,,
6367B,-1.943609,2025-01-07T17:00:00+0000,0.0,300.0,,,217.0,37.390556,213.0,HUERCAL OVERA,48.0,12.2,12.2,15.3,986.5,,,1022.4,1.5,,,,,,,77.0,,,,,,,,,,,,
6375X,-4.742002,2025-01-07T17:00:00+0000,0.0,420.0,3.7,1.9,360.0,37.132343,297.0,FUENTE DE PIEDRA ,49.0,11.1,11.1,12.6,,,,,,,,,,,,,,,,,,,,,,,,
7002Y,-1.586878,2025-01-07T17:00:00+0000,0.0,32.0,3.9,0.8,207.0,37.41724,340.0,ÁGUILAS,55.0,15.0,15.0,16.2,1018.5,0.3,13.8,1022.4,6.1,,21.0,30.0,14.4,,,,,,,,,,,,,,,
7007Y,-1.230556,2025-01-07T17:00:00+0000,0.0,66.0,5.3,2.7,220.0,37.588055,187.0,MAZARRÓN/LAS TORRES,67.0,14.0,14.0,15.8,,,,,,,,,,,,,,,,,,,,,,,,
7012C,-0.987775,2025-01-07T17:00:00+0000,0.0,17.0,6.8,3.3,207.0,37.601116,199.0,CARTAGENA,60.0,15.1,15.1,16.1,,,,,,,,,,,,121.0,,,,,,,,,,,,
7012D,-1.023333,2025-01-07T17:00:00+0000,0.0,55.61,8.6,4.6,197.0,37.604443,203.0,CARTAGENA - TENTEGORRA,66.0,14.5,14.5,15.5,1014.7,1.6,,1021.4,8.3,20.0,22.0,,,,,,,,,,,,,,,,,
7019X,-0.715556,2025-01-07T17:00:00+0000,0.0,2.5,5.8,3.9,186.0,37.635834,205.0,CARTAGENA/SALINAS CABO PALOS,57.0,14.5,14.5,15.6,,,,,,,,,,,,,,,,,,,,,,,,
7023X,-1.167175,2025-01-07T17:00:00+0000,0.0,140.0,,,,37.72648,,FUENTE ALAMO,61.0,14.1,14.1,15.2,,,,,,,,,,,,,,,,,,,,,,,,
7026X,-0.967505,2025-01-07T17:00:00+0000,0.0,50.0,4.0,1.6,208.0,37.738884,220.0,TORRE PACHECO (C.C.A. AUT.),59.0,14.0,14.0,15.6,,,,,,,,,,,,,,,,,,,,,,,,
7031X,-0.805916,2025-01-07T17:00:00+0000,0.0,4.0,7.2,3.5,210.0,37.77833,220.0,MURCIA/SAN JAVIER,64.0,13.8,14.1,15.9,1021.9,0.2,12.6,1022.4,7.4,,3.0,40.0,,,,,,,,,,,,,,,,
7066Y,-2.218889,2025-01-07T17:00:00+0000,0.0,680.0,,,,38.393333,,EMBALSE DE LA FUENSANTA (AUTOMÁTICA),50.0,10.4,10.4,11.2,,,,,,,,,,,,,,,,,,,,,,,,
7067Y,-2.412981,2025-01-07T17:00:00+0000,0.0,1485.0,,,,38.08842,,CAÑADAS DEL NERPIO,46.0,5.0,5.0,6.7,,,,,,,,,,,,,,,,,,,,,,,,
7072Y,-2.293887,2025-01-07T17:00:00+0000,0.0,960.0,,,,38.294994,,SEGE,48.0,8.4,8.4,9.5,,,,,,,,,,,,,,,,,,,,,,,,
7080X,-1.986391,2025-01-07T17:00:00+0000,0.0,955.0,,,,38.268337,,BENIZAR,42.0,8.3,8.3,10.2,,,,,,,,,,,,,,,,,,,,,,,,
7096B,-1.70294,2025-01-07T17:00:00+0000,0.0,604.57,7.2,3.4,240.0,38.541992,238.0,HELLÍN,50.0,9.6,9.6,10.5,951.8,,,1023.2,-0.3,,,,,,,155.0,,,,,,,,,,,,
7103Y,-1.68944,2025-01-07T17:00:00+0000,0.0,615.0,,,,38.58806,,TOBARRA,55.0,10.2,10.2,10.9,,,,,,,,,,,,,,,,,,,,,,,,
7119B,-1.877167,2025-01-07T17:00:00+0000,0.0,643.0,3.0,1.9,301.0,38.10313,136.0,CARAVACA FUENTES DEL MARQUÉS,54.0,9.8,9.9,13.1,946.8,0.3,8.8,1022.4,1.1,20.0,8.0,0.0,8.2,,,,,,0.0,,,,,,,,,
7121A,-1.702227,2025-01-07T17:00:00+0000,0.0,350.0,4.0,1.4,302.0,38.234165,317.0,CALASPARRA,32.0,13.6,13.6,15.4,,,,,,,,,,,,,,,,,,,,,,,,
7127X,-1.695334,2025-01-07T17:00:00+0000,0.0,690.0,,,,38.0492,,BULLAS,49.0,11.9,11.9,13.4,,,,,,,,,,,,,,,,,,,,,,,,
7138B,-1.335282,2025-01-07T17:00:00+0000,0.0,485.0,10.6,5.7,342.0,38.458885,332.0,JUMILLA  EL ALBAL,51.0,11.1,11.1,12.4,,,,,,,,,,,,,,,,,,,,,,,,
7145D,-1.380598,2025-01-07T17:00:00+0000,0.0,265.0,4.4,1.8,356.0,38.23279,344.0,CIEZA  PARQUE DE BOMBEROS,34.0,14.6,14.6,16.7,,,,,-1.2,,,,,,,66.0,,,,,,,,,,,,
7158X,-1.305839,2025-01-07T17:00:00+0000,0.0,150.0,,,,38.128056,,ARCHENA,40.0,16.0,16.0,17.9,,,,,,,,,,,,,,,,,,,,,,,,
7172X,-1.449172,2025-01-07T17:00:00+0000,0.0,255.0,1.7,0.8,193.0,38.041386,205.0,MULA (P. BOMBEROS - AUT.),40.0,14.7,14.7,15.8,,,,,,,,,,,,,,,,,,,,,,,,
7178I,-1.170836,2025-01-07T17:00:00+0000,0.0,61.84,3.3,1.8,161.0,38.002003,148.0,MURCIA,43.0,16.2,16.2,18.1,1014.2,0.4,14.9,1021.7,3.6,20.0,18.0,32.7,14.2,,,,,,0.0,,,,,11.3,,,,
7195X,-2.058228,2025-01-07T17:00:00+0000,0.0,985.0,,,,37.926003,,CARAVACA (LOS ROYOS- AUT.),44.0,8.5,8.5,10.6,,,,,,,,,,,,,,,,,,,,,,,,
7203A,-1.869755,2025-01-07T17:00:00+0000,0.0,646.0,7.3,4.6,263.0,37.8447,260.0,ZARZILLA DE RAMOS,30.0,12.6,12.6,14.2,,,,,,,,,,,,,,,,,,,,,,,,
7209,-1.687314,2025-01-07T17:00:00+0000,0.0,312.0,4.4,1.2,209.0,37.65484,197.0,LORCA,60.0,12.9,12.9,15.1,,,,,5.3,,,,,,,51.0,,,,,,,,,,,,
7211B,-1.797223,2025-01-07T17:00:00+0000,0.0,445.0,,,,37.56805,,PUERTO LUMBRERAS,59.0,12.3,12.3,14.2,,,,,,,,,,,,,,,,,,,,,,,,
7218Y,-1.5127,2025-01-07T17:00:00+0000,0.0,281.0,6.7,1.4,306.0,37.758556,237.0,TOTANA,51.0,14.6,14.6,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7227X,-1.334725,2025-01-07T17:00:00+0000,0.0,157.0,4.5,1.4,171.0,37.86167,172.0,ALHAMA (COMARZA - AUT.),54.0,14.0,14.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
7237E,-1.158615,2025-01-07T17:00:00+0000,0.0,170.0,3.3,1.4,287.0,38.13889,267.0,MOLINA DE SEGURA (LOS VALIENTES),44.0,14.7,14.7,16.0,,,,,,,,,,,,,,,,,,,,,,,,
7244X,-0.981414,2025-01-07T17:00:00+0000,0.0,26.0,2.0,0.7,224.0,38.0678,237.0,ORIHUELA DESAMPARADOS,44.0,15.4,15.4,16.7,,,,,,,,,,,,,,,,,,,,,,,,
7247X,-1.037968,2025-01-07T17:00:00+0000,0.0,575.0,6.3,2.4,316.0,38.399586,338.0,PINOSO,42.0,11.2,11.2,13.0,,,,,-1.2,,,,,,,68.0,,,,,,,,,,,,
7250C,-1.033817,2025-01-07T17:00:00+0000,0.0,174.0,,,,38.19439,,ABANILLA,45.0,14.8,14.8,16.4,,,,,,,,,,,,,,,,,,,,,,,,
7261X,-0.715258,2025-01-07T17:00:00+0000,0.0,31.0,5.2,2.6,195.0,38.088036,205.0,ROJALES  EL MOLINO,39.0,15.5,15.5,16.6,,,,,,,,,,,,,,,,,,,,,,,,
7275C,-1.159669,2025-01-07T17:00:00+0000,0.0,640.0,11.4,3.6,271.0,38.601795,262.0,YECLA,53.0,10.0,10.0,10.6,947.5,,9.1,1022.8,0.9,20.0,,11.0,9.3,0.0,0.0,,,,,,,,,,,,,
8005X,-0.795955,2025-01-07T17:00:00+0000,0.0,622.0,,,,38.779987,,FONTANARS - CASA DELS CUPS,61.0,9.3,9.3,10.7,,,,,,,,,,,,,,,,,,,,,,,,
8008Y,-0.865595,2025-01-07T17:00:00+0000,0.0,486.0,7.8,2.7,321.0,38.57697,315.0,VILLENA,54.0,10.4,10.4,11.8,,,,,,,,,,,,,,,,,,,,,,,,
8019,-0.57083,2025-01-07T17:00:00+0000,0.0,43.0,5.1,3.4,230.0,38.28278,200.0,ALICANTE-ELCHE/AEROPUERTO,47.0,13.8,14.0,16.5,1017.6,0.2,15.0,1021.3,2.9,,3.0,24.0,,,,,,,,,,,,,,,,
8025,-0.494167,2025-01-07T17:00:00+0000,0.0,80.66,6.7,2.8,258.0,38.3725,255.0,ALICANTE,32.0,15.4,15.4,16.9,1011.4,0.9,13.8,1021.2,-1.2,20.0,23.0,23.8,11.4,,,,,,0.0,,,,,11.1,,,,
8036Y,-0.137786,2025-01-07T17:00:00+0000,0.0,35.6,5.2,1.2,227.0,38.543655,230.0,BENIDORM (PARC LES FOIETES),39.0,15.3,15.3,17.6,,,,,,,,,,,,,,,,,,,,,,,,
8050X,0.166667,2025-01-07T17:00:00+0000,0.0,15.0,2.6,1.7,220.0,38.78417,234.0,JÁVEA  AYUNTAMIENTO,59.0,12.0,12.0,17.9,1019.1,0.3,11.2,1020.9,4.3,20.0,9.0,20.0,12.2,,,,,,0.0,,,,,,,,,
8058Y,-0.137697,2025-01-07T17:00:00+0000,0.0,12.0,9.1,4.0,275.0,38.9503,272.0,MIRAMAR,42.0,15.7,15.7,16.2,,,,,,,,,,,,,,,,,,,,,,,,
8059C,-0.460071,2025-01-07T17:00:00+0000,0.0,530.0,8.3,2.2,170.0,38.71092,262.0,ALCOY,50.0,11.0,11.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,
8096,-2.131944,2025-01-07T17:00:00+0000,0.0,948.52,3.9,0.7,350.0,40.067223,315.0,CUENCA,82.0,5.4,5.4,5.5,912.1,0.3,5.7,,2.5,20.0,71.0,0.0,7.3,,,,,,0.0,,,,,7.0,,837.3,,
8155Y,-1.915278,2025-01-07T17:00:00+0000,0.0,830.0,6.1,1.7,285.0,39.55528,290.0,MOTILLA DEL PALANCAR,85.0,5.1,5.1,5.3,,,,,,,,,,,,,,,,,,,,,,,,
8175,-1.856389,2025-01-07T17:00:00+0000,0.0,702.0,7.5,3.9,313.0,38.954166,302.0,ALBACETE/LOS LLANOS,73.0,8.2,8.2,9.4,940.2,0.7,,1023.2,3.6,,8.0,0.0,7.1,,,,,,0.0,,,,,6.7,,,,
8177A,-1.658812,2025-01-07T17:00:00+0000,0.0,880.0,9.1,3.7,330.0,38.9376,319.0,CHINCHILLA/CENAD,84.0,6.4,6.4,7.3,919.4,,,,3.9,,,,,,,176.0,,,,,,,,,,830.1,,
8178D,-1.862335,2025-01-07T17:00:00+0000,0.0,674.11,5.5,1.4,308.0,39.005577,291.0,ALBACETE OBS.,72.0,8.2,8.2,9.1,943.6,,,1023.4,3.4,,,,,,,75.0,,,,,,,,,,,,
8191Y,-1.435505,2025-01-07T17:00:00+0000,0.0,680.0,8.1,2.5,287.0,39.198746,300.0,LAS ERAS,74.0,7.1,7.1,7.6,,,,,,,,,,,,,,,,,,,,,,,,
8198Y,-1.063051,2025-01-07T17:00:00+0000,0.0,710.0,9.4,3.0,286.0,38.85055,310.0,ALMANSA,67.0,7.9,7.9,8.6,,,,,,,,,,,,,,,,,,,,,,,,
8210Y,-1.503605,2025-01-07T17:00:00+0000,0.0,1160.0,7.9,2.3,251.0,40.103096,232.0,SALVACAÑETE,73.0,4.0,4.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,
8270X,-0.79,2025-01-07T17:00:00+0000,0.0,305.0,4.8,1.3,43.0,39.13361,167.0,BICORP,54.0,11.1,11.1,12.4,,,,,,,,,,,,,,,,,,,,,,,,
8283X,-0.607676,2025-01-07T17:00:00+0000,0.0,350.0,7.5,2.0,250.0,38.82944,257.0,ONTINYENT,55.0,11.7,11.7,12.9,,,,,,,,,,,,,,,,,,,,,,,,
8293X,-0.523056,2025-01-07T17:00:00+0000,0.0,88.0,6.8,3.0,253.0,39.001667,235.0,XÁTIVA,45.0,13.2,13.4,14.8,1010.4,1.1,11.3,1021.0,1.7,20.0,14.0,0.0,10.7,,,,,,0.0,,,,,,,,,
8300X,-0.445908,2025-01-07T17:00:00+0000,0.0,25.0,4.9,1.2,238.0,39.11338,265.0,CARCAIXENT,49.0,12.3,12.3,14.8,,,,,,,,,,,,,,,,,,,,,,,,
8309X,-1.244795,2025-01-07T17:00:00+0000,0.0,758.0,7.6,5.0,280.0,39.575455,313.0,UTIEL  LA CUBERA,71.0,6.3,6.3,6.8,933.1,0.8,6.2,,1.5,20.0,6.0,0.0,7.2,,,,,,0.0,,,,,,,829.8,,
8325X,-0.371947,2025-01-07T17:00:00+0000,0.0,12.0,4.7,0.6,243.0,39.184723,237.0,POLINYA,49.0,12.4,12.4,13.6,,,,,1.9,,,,,,,31.0,,,,,,,,,,,,
8354X,-1.44139,2025-01-07T17:00:00+0000,0.0,1130.0,5.0,1.7,166.0,40.41972,170.0,ALBARRACÍN,64.0,5.9,5.9,6.9,,,,,,,,,,,,,,,,,,,,,,,,
8368U,-1.124132,2025-01-07T17:00:00+0000,0.0,901.67,8.2,4.5,253.0,40.350716,258.0,TERUEL,52.0,9.1,9.1,10.7,914.8,1.1,8.4,,-0.3,20.0,13.0,2.7,6.9,,,,,,0.0,,,,,5.8,,811.9,,
8376,-1.411672,2025-01-07T17:00:00+0000,0.0,1430.0,16.2,8.8,281.0,40.236115,267.0,JABALOYAS  DEPÓSITO,70.0,4.4,5.3,5.3,,,,,,,,,,,,,,,,,,,,,,,,
8395X,-0.993611,2025-01-07T17:00:00+0000,0.0,515.0,11.7,6.8,303.0,39.75333,285.0,CHELVA,54.0,9.8,9.8,10.4,,,,,,,,,,,,,,,,,,,,,,,,
8409X,-0.653993,2025-01-07T17:00:00+0000,0.0,198.0,12.5,6.6,266.0,39.66401,285.0,LLIRIA,49.0,12.6,12.6,13.9,,,,,,,,,,,,,,,,,,,,,,,,
8414A,-0.474677,2025-01-07T17:00:00+0000,0.0,55.9,9.3,6.7,230.0,39.485016,230.0,VALENCIA/AEROPUERTO,46.0,13.5,13.6,14.4,1011.9,0.7,12.4,1018.6,2.3,,2.0,0.0,,,,,,,,,,,,,,,,
8416X,-0.337222,2025-01-07T17:00:00+0000,0.0,6.0,7.1,2.3,242.0,39.479443,220.0,VALENCIA UPV,52.0,13.7,13.8,14.9,,,,,,,,,,,,80.0,,,,,,,,,,,,
8416Y,-0.366387,2025-01-07T17:00:00+0000,0.0,11.0,9.9,5.3,234.0,39.480556,268.0,VALENCIA DT,39.0,13.7,13.7,15.0,,,,,0.0,,,,,,,135.0,,,,,,,,,,,,
8439X,-0.485282,2025-01-07T17:00:00+0000,0.0,400.0,4.3,2.4,240.0,39.79555,240.0,SEGORBE  MASIA HOYA,44.0,11.8,11.8,13.4,,,,,,,,,,,,,,,,,,,,,,,,
8458X,-0.849428,2025-01-07T17:00:00+0000,0.0,1380.0,9.4,4.1,224.0,40.430515,240.0,CEDRILLAS  ANTENAS,63.0,4.7,4.7,5.0,,,,,,,,,,,,,,,,,,,,,,,,
8472A,-0.54685,2025-01-07T17:00:00+0000,0.0,601.0,9.5,4.0,321.0,40.087708,340.0,ARENOS-PANTANO,41.0,12.6,12.6,13.1,,,,,,,,,,,,,,,,,,,,,,,,
8486X,-0.454339,2025-01-07T17:00:00+0000,0.0,1515.0,16.1,7.8,293.0,40.362514,277.0,MOSQUERUELA  DEPÓSITO,70.0,5.5,5.5,5.9,,,,,,,,,,,,,,,,,,,,,,,,
8489X,-0.255675,2025-01-07T17:00:00+0000,0.0,1130.0,6.8,3.7,336.0,40.433216,346.0,VILLAFRANCA,53.0,7.8,7.9,9.3,889.1,1.0,6.5,,-1.2,20.0,16.0,3.0,5.3,,,,,,0.0,,,,,,"{'value': 1499.3, 'present': True}",,,
8492X,-0.169683,2025-01-07T17:00:00+0000,0.0,420.0,2.1,0.9,24.0,40.227142,0.0,ATZENETA DEL MAESTRAT,51.0,12.3,12.3,14.1,,,,,,,,,,,,,,,,,,,,,,,,
8500A,-0.071967,2025-01-07T17:00:00+0000,0.0,43.39,3.4,0.8,46.0,39.95728,40.0,CASTELLÓN-ALMASSORA,51.0,15.0,15.0,17.0,1011.6,0.3,12.4,1017.4,5.0,16.3,35.0,0.0,9.9,,,,,,0.0,,,,,10.4,,,,
8503Y,0.18354,2025-01-07T17:00:00+0000,0.0,35.0,2.1,1.2,343.0,40.2113,300.0,TORREBLANCA AYUNTAMIENTO (C.AGRARIA LOCAL),61.0,13.3,13.3,15.8,,,,,,,,,,,,,,,,,,,,,,,,
9001D,-4.160594,2025-01-07T17:00:00+0000,0.0,870.0,11.3,4.9,260.0,42.991882,234.0,NESTARES,82.0,6.0,6.3,6.6,913.6,,,,3.4,,,,,,,209.0,,,,,,,,,,769.9,,
9001S,-4.374447,2025-01-07T17:00:00+0000,0.2,1650.0,23.1,7.2,302.0,43.036667,299.0,Alto Campoo,90.0,1.7,2.0,2.6,829.2,,,,0.6,,,,,,,296.0,,,,,,,,,,,,
9012E,-3.95718,2025-01-07T17:00:00+0000,0.0,915.0,,,,42.951336,,SANTA GADEA DE ALFOZ,94.0,5.5,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
9016X,-4.032219,2025-01-07T17:00:00+0000,0.0,770.0,13.3,5.8,247.0,42.809723,257.0,CUBILLO DE EBRO,91.0,6.7,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,,,
9019B,-3.933916,2025-01-07T17:00:00+0000,0.0,720.0,11.2,5.9,221.0,42.806248,251.0,POLIENTES-CASYC,85.0,7.7,8.2,8.2,,,,,5.8,,,,,,,197.0,,,,,,,,,,,,
9051,-3.482685,2025-01-07T17:00:00+0000,0.0,580.0,7.6,2.8,232.0,42.919903,202.0,MEDINA DE POMAR,73.0,8.7,9.2,9.2,947.9,,7.0,1016.1,4.6,20.0,,0.0,7.0,0.0,0.0,,,,,,,,,,,,,
9060X,-3.231729,2025-01-07T17:00:00+0000,0.0,910.0,14.3,3.5,241.0,42.875217,285.0,LALASTRA,93.0,5.7,5.8,5.8,,,,,,,,,,,,,,,,,,,,,,,,
9069C,-2.960608,2025-01-07T17:00:00+0000,0.0,460.0,10.0,4.0,274.0,42.68716,247.0,MIRANDA DE EBRO,76.0,9.7,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
9073X,-2.359745,2025-01-07T17:00:00+0000,0.0,660.0,8.6,3.0,219.0,42.82983,235.0,AGURAIN/SALVATIERRA  OPAKUA,81.0,8.4,8.8,8.8,,,,,,,,,,,,,,,,,,,,,,,,
9091R,-2.732913,2025-01-07T17:00:00+0000,0.0,513.0,14.9,4.9,210.0,42.871933,220.0,VITORIA-GASTEIZ AEROPUERTO,80.0,8.7,9.0,9.0,955.4,0.5,8.1,1015.7,5.8,,9.0,0.0,,,,,,,,,,,,,,,,
9111,-3.170282,2025-01-07T17:00:00+0000,0.0,820.0,13.9,3.9,229.0,42.421116,248.0,BELORADO,69.0,8.6,9.0,9.0,,,,,3.6,,,,,,,183.0,,,,,,,,,,,,
9115X,-2.968056,2025-01-07T17:00:00+0000,0.0,1630.0,19.0,5.7,109.0,42.255,170.0,VALDEZCARAY,93.0,1.8,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,
9121X,-2.854717,2025-01-07T17:00:00+0000,0.0,465.0,,,,42.575275,,HARO ,68.0,10.8,11.6,11.6,,,,,,,,,,,,,,,,,,,,,,,,
9122I,-2.776667,2025-01-07T17:00:00+0000,0.0,612.0,7.8,2.5,351.0,42.60389,285.0,LABASTIDA,73.0,9.1,10.1,10.1,,,,,,,,,,,,,,,,,,,,,,,,
9136X,-2.871106,2025-01-07T17:00:00+0000,0.0,1006.0,,,,42.230835,,ANGUIANO  VALVANERA ,83.0,5.8,6.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,
9141V,-2.726758,2025-01-07T17:00:00+0000,0.0,500.0,5.1,0.8,345.0,42.41403,90.0,NÁJERA,80.0,7.7,7.7,8.5,,,,,,,,,,,,,,,,,,,,,,,,
9145X,-2.632837,2025-01-07T17:00:00+0000,0.0,575.0,,,,42.56724,,LEZA,82.0,6.8,6.8,8.8,,,,,,,,,,,,,,,,,,,,,,,,
9145Y,-2.63944,2025-01-07T17:00:00+0000,0.0,429.0,5.6,1.6,99.0,42.48278,105.0,CENICERO ,75.0,7.5,7.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,
9170,-2.331024,2025-01-07T17:00:00+0000,0.0,353.0,2.6,1.2,30.0,42.452343,70.0,LOGROÑO  AEROPUERTO,86.0,7.1,7.2,7.7,974.2,0.7,6.7,1017.9,5.0,,154.0,0.0,,,,,,,,,,,,,,,,
9171K,-2.183774,2025-01-07T17:00:00+0000,0.0,470.0,2.5,1.0,35.0,42.570415,115.0,LOS ARCOS,86.0,6.6,6.6,6.8,,,,,,,,,,,,,,,,,,,,,,,,
9178X,-2.346127,2025-01-07T17:00:00+0000,0.0,570.0,,,,42.670654,,CAMPEZO/KANPEZU,89.0,5.7,5.7,6.4,,,,,,,,,,,,,,,,,,,,,,,,
9188,-2.273211,2025-01-07T17:00:00+0000,0.0,855.0,11.2,4.9,185.0,42.1495,175.0,ENCISO  DEPÓSITO,65.0,8.9,9.0,9.5,,,,,,,,,,,,,,,,,,,,,,,,
9195C,-0.505278,2025-01-07T17:00:00+0000,0.0,2275.6,1.7,1.3,283.0,42.793056,281.0,ASTÚN - LA RACA,100.0,-1.9,-1.5,-1.3,,0.1,,,-1.4,,6.0,,,,,,,,,,,,,,,,13.1,
9198X,-0.51604,2025-01-07T17:00:00+0000,0.0,1197.0,1.2,0.3,326.0,42.749527,22.0,CANFRANC,97.0,2.3,2.3,2.7,,,,,,,,,,,,,,,,,,,,,,,,
9201X,-0.545044,2025-01-07T17:00:00+0000,0.0,832.19,3.1,1.2,4.0,42.579754,15.0,JACA,87.0,4.5,4.6,5.3,921.2,0.4,,1019.1,2.7,,17.0,,,,,,,,,,,,,,,,,
9207,-0.750538,2025-01-07T17:00:00+0000,0.0,860.0,2.2,0.5,8.0,42.74066,247.0,VALLE DE HECHO  HECHO-DEPÓSITO,89.0,4.0,4.0,4.3,,,,,,,,,,,,,,,,,,,,,,,,
9208E,-0.672778,2025-01-07T17:00:00+0000,0.0,1025.0,2.3,0.7,306.0,42.70861,206.0,ARAGÜÉS DEL PUERTO  DEPÓSITO,90.0,3.1,3.1,3.2,899.6,0.2,4.8,,1.7,20.0,53.0,0.0,5.7,,,,,,0.0,,,,,,"{'value': 1482.3, 'present': True}",,,
9211F,-0.817243,2025-01-07T17:00:00+0000,0.0,722.0,2.8,1.2,206.0,42.514168,107.0,BAILO PUYALTO,78.0,5.9,5.9,6.2,,,,,,,,,,,,,,,,,,,,,,,,
