idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,geo700
1159,-4.392103,2025-01-07T07:00:00+0000,0.0,38.0,4.4,3.2,193.0,43.393456,217.0,SAN VICENTE  FARO,82.0,6.3,7.1,7.2,1008.5,,,1013.4,4.3,,,,,,,120.0,,,,,,,,,,,,
1167B,-4.812779,2025-01-07T07:00:00+0000,0.0,1100.0,6.7,1.8,215.0,43.143894,162.0,FUENTE DÉ-TELEFÉRICO,73.0,2.3,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,
1167G,-4.802929,2025-01-07T07:00:00+0000,,1910.27,15.8,9.5,233.0,43.15487,263.0,MIRADOR DEL CABLE  PARQUE NACIONAL PICOS DE EUROPA,98.0,-4.5,-4.3,-2.1,802.4,0.9,,1017.0,-4.5,,10.0,,,,,,,,,,,,,,,,,
1167H,-4.834772,2025-01-07T07:00:00+0000,,2330.62,12.9,3.4,257.0,43.176186,327.0,CABAÑA VERÓNICA  PARQUE NACIONAL PICOS DE EUROPA,98.0,-4.7,-4.2,-4.2,761.3,2.2,,1014.9,-4.5,,57.0,,,,,,,,,,,,,,,,,
1167J,-4.773842,2025-01-07T07:00:00+0000,,1721.85,18.1,13.3,233.0,43.089184,230.0,CORISCAO  PARQUE NACIONAL PICOS DE EUROPA,95.0,-3.3,-2.7,-2.6,820.6,1.3,,1015.2,-3.3,,8.0,,,,,,,,,,,,,,,,,
1174I,-4.601783,2025-01-07T07:00:00+0000,0.0,250.0,1.0,0.1,80.0,43.18286,305.0,TAMA,99.0,0.1,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,
1176A,-4.668234,2025-01-07T07:00:00+0000,0.0,940.0,3.1,1.5,23.0,43.255714,22.0,TRESVISO,63.0,3.5,3.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,
1178E,-4.902024,2025-01-07T07:00:00+0000,,678.0,5.8,1.9,146.0,43.17602,169.0,CORDIÑANES  PARQUE NACIONAL PICOS DE EUROPA,56.0,4.9,6.8,6.8,935.7,1.0,,1015.5,-1.4,,25.0,,,,,,,,,,,,,,,,,
1178I,-4.820994,2025-01-07T07:00:00+0000,,1970.0,16.9,7.8,139.0,43.202496,114.0,VEGA DE URRIELLU  PARQUE NACIONAL PICOS DE EUROPA,50.0,-0.5,0.0,0.1,796.5,1.9,,1013.2,-9.0,,18.0,,,,,,,,,,,,,,,,,
1178R,-4.736775,2025-01-07T07:00:00+0000,0.0,1235.71,2.5,1.3,115.0,43.23739,67.0,SOTRES  PARQUE NACIONAL PICOS DE EUROPA,67.0,1.0,1.7,1.7,872.4,0.4,,1014.9,-3.9,,27.0,,,,,,,,,,,,,,,,,
1178Y,-4.931762,2025-01-07T07:00:00+0000,0.0,953.0,,,,43.145374,,SOTO DE VALDEÓN (AUTOMATICA),100.0,-0.2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
